title,description,category,difficulty,requiredSetting
Loop Forge,"Eight bars is a whole world if you let it be.

1. Make one eight-bar loop.
2. Give it one element that shouldn't work.
3. Loop it twenty times before you judge it.",fun activities,medium,home
Draw What's In Front of You,"Not from memory. From the actual object.

1. Pick the nearest object with an awkward shape.
2. Draw it without lifting your eyes to the page more than twice.",fun activities,easy,home
Rename Everything,"The name is the first draft of the idea.

1. Take something you're working on.
2. Write fifteen alternative names for it.
3. The eleventh is usually where it gets interesting.",fun activities,medium,home
Voice Memo Manifesto,"Speaking is faster than thinking, which is the point.

1. Hit record.
2. Talk for three uninterrupted minutes about what you actually want to make.
3. Don't listen back today.",fun activities,easy,home
Collage Hour,"Scissors bypass the part of you that argues.

1. Gather printed matter — magazines, packaging, receipts.
2. Make one physical collage. No screen.
3. Hang it somewhere you'll pass tomorrow.",fun activities,hard,home
One Verse,"A whole song is a mountain. One verse is a walk.

1. Write or compose exactly one verse.
2. Finish it badly rather than leaving it open.",fun activities,medium,outdoors
The Constraint Curse,"Remove an option and watch what grows in the gap.

1. Make something using only one colour, one tool, or one sound source.
2. No exceptions, no substitutions, no cheating at the end.",fun activities,hard,home
Finish the Abandoned,"Your current project has been waiting. It hasn't forgotten.

1. Open your current project.
2. Do not restart it. Push it one visible step forward.
3. Stop while you still know what comes next.",fun activities,hard,home
Sketch a Stranger,"Nobody will know. That's the freedom.

1. Go somewhere with people in it.
2. Sketch one person in under four minutes.
3. Get the posture, not the face.",fun activities,easy,home
The Cover Version,"Interpretation teaches what imitation can't.

1. Take a piece of work you love in your field.
2. Redo it in your own voice — same bones, your skin.
3. Keep what surprises you.",fun activities,medium,home
The Advert for Your Life,"Absurd, but you'll learn something.

1. Write the thirty-second radio ad for your current life.
2. Make it honest and make it sell.
3. Read it aloud once.",fun activities,easy,home
Deliberate Ruin,"You can't improve what you're precious about.

1. Take a draft you've polished too long.
2. Break it on purpose — cut a third, reorder it, change the ending.
3. Compare. Keep the better corpse.",fun activities,hard,home
The Cold Send,"The message you don't send has a zero percent response rate.

1. Pick one person who could change something for you.
2. Write four sentences: who you are, why them, what you want, an easy out.
3. Send it.",productivity/chores,hard,home
Price the Thing,"Undercharging is a decision you make once and pay for repeatedly.

1. Write down what you currently charge.
2. Write the number that would feel slightly uncomfortable.
3. Find one reason the second number is defensible.",productivity/chores,hard,home
One-Page Pitch,"If it doesn't fit on a page it isn't clear yet.

1. Write one page: the problem, your answer, who it's for, why now.
2. Cut it by a third.
3. Read it aloud to check it survives being spoken.",productivity/chores,hard,office/desk
Competitor Reconnaissance,"Watch what they do, not what they say.

1. Pick one competitor.
2. Go through their buying process as a customer would.
3. Write the three moments where it felt worst.",productivity/chores,medium,home
Ask for the Money,"Politeness has never once collected an invoice.

1. Find an unpaid invoice or an owed favour.
2. Send a short, warm, unambiguous chase.
3. No apologising for asking.",productivity/chores,medium,office/desk
The Testimonial Harvest,"Proof you didn't write yourself is worth ten times your own words.

1. Message two past clients or collaborators.
2. Ask for one specific sentence about working with you.
3. Give them a draft to edit — it triples the reply rate.",productivity/chores,medium,office/desk
Offer Autopsy,"People don't reject your offer. They reject their understanding of it.

1. Write out what you're selling, exactly as a stranger would read it.
2. Find the sentence that requires them to already know you.
3. Rewrite that sentence.",productivity/chores,hard,home
Rewrite Your Bio,"Yours currently describes a person from two years ago.

1. Rewrite your bio in three sentences: what you do, who for, one proof.
2. Update it in the one place that actually gets read.",productivity/chores,medium,home
Ten Names,"The first three are always obvious. Keep going.

1. Name a project, product, or offer ten different ways.
2. One of them must be a plain description. One must be a joke.",productivity/chores,easy,home
Customer Séance,"Guessing is expensive. Asking is free.

1. Message one person who has actually paid you.
2. Ask what nearly stopped them buying.
3. Shut up and read the answer twice.",productivity/chores,hard,home
Ship Something Small,"A small thing in the world beats a large thing in a folder.

1. Pick the smallest sellable, shareable, or usable piece of what you're building.
2. Get it out today, imperfect.
3. Tell exactly one person it exists.",productivity/chores,hard,home
The Landing Line,"One sentence. If they don't get it, nothing after it matters.

1. Write what you do in one sentence, no jargon.
2. Show it to someone outside your field.
3. Rewrite based on the face they pull.",productivity/chores,medium,outdoors
The Quiet Ledger,"Money leaves quietly. It should be made to explain itself.

1. List every business expense from the last month.
2. Mark each one: earns, protects, or neither.
3. Cancel one 'neither'.",productivity/chores,medium,home
Reactivate the Dead,"A lead that went quiet is warmer than a stranger.

1. Find someone who went cold three or more months ago.
2. Send something useful with no ask attached.
3. Leave it there.",productivity/chores,medium,home
Trace One Funnel,"Somebody has already solved a problem you're stuck on.

1. Sign up to one company you admire.
2. Screenshot every email and screen they send you for the first hour.
3. Steal one mechanic.",productivity/chores,hard,office/desk
Post the Frightening Thing,"Visibility costs something. That's why it works.

1. Write the post about your work you've been too self-conscious to publish.
2. Publish it.
3. Close the app for an hour.",productivity/chores,hard,home
The Follow-Up Sequence,"Most sales happen after the point most people stop.

1. Draft three short follow-up messages for anyone who goes quiet.
2. Space them a week apart.
3. Each one gives something before it asks.",productivity/chores,hard,home
Where Your People Gather,"You cannot sell in a room you've never entered.

1. Find three places your ideal customer already talks — forum, group, newsletter, event.
2. Join all three.
3. Say something useful in one of them.",productivity/chores,medium,home
The Hundred,"One movement. One hundred repetitions. However long it takes.

1. Choose press-ups, squats, or kettlebell swings.
2. Accumulate one hundred reps in as many sets as you need.",fitness,medium,gym
Stair Toll,"Height is the cheapest resistance there is.

1. Find the nearest staircase.
2. Climb it ten times.
3. Walk down, don't run.",fitness,easy,outdoors
Walk Without a Destination,"Movement without a purpose is still movement.

1. Leave with no route and no podcast.
2. Walk until you're bored, then walk ten more minutes.",fitness,easy,outdoors
Grease the Groove,"Frequency beats intensity. Almost always.

1. Do a comfortable set of one movement now — nowhere near failure.
2. Repeat it every twenty minutes until you go to bed.",fitness,easy,home
Carry Something Heavy,"The oldest exercise. Still undefeated.

1. Find something awkward and heavy.
2. Carry it for distance — laps, stairs, up the street and back.
3. Set it down before your grip fails, not after.",fitness,medium,outdoors
Hang Time,"Your shoulders were designed for this and you've stopped asking.

1. Find a bar, a beam, a branch.
2. Accumulate two minutes of dead hang.
3. Break it into as many sets as you need.",fitness,medium,gym
Floor Work,"Low energy is not an excuse. It's a specification.

1. Get on the floor.
2. Move through hips, spine, and ankles slowly for the whole time.
3. No reps, no counting, no phone.",fitness,easy,gym
Sprint Ladder,"Short, brutal, over quickly. The best kind of deal.

1. Warm up properly — five minutes, no shortcuts.
2. Sprint 10, 20, 30, 20, 10 seconds with full recovery between.
3. Walk for five minutes afterward.",fitness,hard,gym
The Unbroken Set,"One set. No rest. Find the edge.

1. Choose one bodyweight movement.
2. Do a single set to two reps short of failure.
3. Note the number. Beat it next month.",fitness,hard,gym
Cold Finish,"Thirty seconds that reorganise the whole day.

1. Take your normal shower.
2. End it on cold for thirty seconds.
3. Breathe slowly. Don't brace.",fitness,medium,home
Shadow Round,"Three rounds is enough to remember you have a body.

1. Three rounds, three minutes each, one minute rest.
2. Shadowbox, or throw whatever movements you know.
3. Stay light on your feet the whole time.",fitness,medium,gym
Long Slow Distance,"Slower than feels right. Longer than feels necessary.

1. Go out at a pace where you could hold a conversation.
2. Stay there for the whole distance.
3. Resist every urge to speed up.",fitness,hard,home
Wall Sit Vigil,"Nothing happens. That's what makes it hard.

1. Sit against a wall, thighs parallel to the floor.
2. Hold for as long as you can, three times.
3. The last thirty seconds are the only ones that count.",fitness,medium,gym
Kettlebell Liturgy,"Swing, rest, repeat. A metronome with consequences.

1. Ten swings at the top of every minute.
2. Rest for the remainder of the minute.
3. Continue for fifteen minutes.",fitness,hard,gym
Balance Trial,"A skill that quietly disappears if nobody asks for it.

1. Stand on one leg for sixty seconds. Then the other.
2. Repeat with your eyes closed.
3. Notice which side is worse.",fitness,easy,home
Movement Snack Tour,"Five movements, one round, no equipment, no excuse.

1. Pick five movements covering push, pull, squat, hinge, and carry.
2. Do ten of each, once through, unhurried.",fitness,easy,gym
Post-Meal March,"The most effective walk of the day is the least ambitious one.

1. Within an hour of eating, walk gently.
2. No pace target. No tracking.
3. Come back the long way.",fitness,easy,outdoors
Max Effort Attempt,"Once in a while you need to find the actual ceiling.

1. Warm up thoroughly.
2. Work up to a genuine one-rep or one-round maximum in a movement you know well.
3. Stop the moment form breaks.",fitness,hard,gym
The Wrong Playlist,"Taste is a habit and habits go stale.

1. Pick a genre you'd never claim to like.
2. Listen to a full album of it. Whole thing.
3. Find one track you'd defend.",fun activities,easy,home
Cook Without a Recipe,"Improvisation is a skill and dinner is a low-stakes place to practise it.

1. Open the fridge. Take the first three things you see.
2. Make a meal from them plus what's in the cupboard.
3. No looking anything up.",fun activities,medium,home
Text an Old Friend,"No occasion. That's what makes it land.

1. Think of someone you haven't spoken to in over a year.
2. Send them one specific memory. Not 'how are you'.
3. Expect nothing back.",fun activities,easy,home
Subtitles Off,"Immersion is uncomfortable, then suddenly it isn't.

1. Watch thirty minutes of something in a language you're learning.
2. No subtitles. Accept the confusion.
3. Write down three words you caught.",fun activities,medium,school
Local Legend,"There is something strange within a mile of you.

1. Search for the odd history of your street or neighbourhood.
2. Find one story you didn't know.
3. Go stand where it happened.",fun activities,easy,outdoors
Solo Game Night,"Play with intent instead of fidgeting.

1. Choose one game and play it properly for the whole time.
2. No second screen. No scrolling between turns.",fun activities,medium,home
The Bad Movie Ritual,"Deliberate low culture, taken seriously, is genuinely restorative.

1. Choose a film with a terrible reputation.
2. Watch it start to finish with full attention.
3. Decide sincerely whether it was misjudged.",fun activities,easy,home
"One Song, All In","Three minutes of unobserved nonsense.

1. Put on the loudest thing you own.
2. Dance for the length of one song.
3. Curtains closed if you must.",fun activities,easy,home
Learn a Card Trick,"A pocket-sized piece of charisma.

1. Learn one self-working card trick.
2. Practise it until you can do it while talking.
3. Perform it badly for someone tonight.",fun activities,medium,home
Assemble a Board,"Cooking without cooking.

1. Build a snack board from whatever is in the house.
2. Arrange it like you're being photographed.
3. Eat it somewhere you don't normally eat.",fun activities,easy,home
Karaoke Alone,"Nobody is listening. Sing like they are.

1. Pick the song you'd never sing in front of people.
2. Sing it fully, badly, at volume.",fun activities,medium,home
The Novelty Beverage,"Small novelty, disproportionate effect.

1. Go and buy a drink you have never tried before.
2. Bonus if you can't identify half the ingredients.
3. Drink it somewhere you don't usually sit.",fun activities,easy,mall
Reread the Old Favourite,"The book you loved at fourteen knows things about you.

1. Find something you loved before you had taste.
2. Read thirty minutes of it without irony.",fun activities,easy,school
Meme Your Week,"Comedy is compression. Compression is clarity.

1. Summarise your week as a single image and caption.
2. Make it genuinely funny to you.
3. Send it to one person.",fun activities,easy,home
Build Something Stupid,"Useless projects teach the same skills as useful ones, faster.

1. Make something with no purpose whatsoever.
2. It must physically or digitally exist by the end.
3. Nobody needs to see it.",fun activities,medium,home
Soundtrack a Film That Doesn't Exist,"Invent the film by choosing its music.

1. Invent a film — genre, one scene, an ending.
2. Build a ten-track soundtrack for it.
3. Name the film last.",fun activities,easy,home
"Call, Don't Text","Voices carry things text drops.

1. Call someone you'd normally message.
2. No agenda, no reason.
3. Ten minutes minimum.",fun activities,medium,home
Hide a Small Kindness,"Anonymous, so it can't be transactional.

1. Do something quietly good that nobody can trace to you.
2. Overtip, leave a note, pay something forward.
3. Tell no one afterward.",fun activities,easy,home
The Third Left,"A rule instead of a plan.

1. Walk out of your door.
2. Take every third left turn.
3. Continue until you don't recognise the street, then find your own way back.",random activities,medium,outdoors
The Unvisited Block,"There's a street near you that you've simply never had a reason to walk down.

1. Find a street within walking distance you've never used.
2. Walk its full length.
3. Notice one thing worth going back for.",random activities,medium,outdoors
Sunrise Summons,"The city belongs to almost nobody at that hour.

1. Be outside before the sun is properly up.
2. Walk for at least half of it.
3. No podcast until the sun clears the buildings.",random activities,hard,outdoors
New Café Rite,"Same ritual, unfamiliar room.

1. Go to a café you've never entered.
2. Order what the person before you ordered.
3. Stay long enough to read or write something.",random activities,easy,mall
Transit Roulette,"Chance is a better travel agent than you are.

1. Get on the next bus or train that arrives.
2. Ride it for a set number of stops decided in advance.
3. Get off and explore before coming back.",random activities,hard,outdoors
High Ground,"Altitude changes your opinion of a place.

1. Find the highest publicly accessible point near you.
2. Get to the top of it.
3. Stay there for ten minutes doing nothing.",random activities,medium,outdoors
One Stranger,"Small talk is a muscle and yours has atrophied.

1. Start one real conversation with someone you don't know.
2. Ask two follow-up questions before you talk about yourself.
3. Leave before it gets awkward.",random activities,hard,home
The Market Crawl,"Markets are the most concentrated version of anywhere.

1. Find a market — food, flea, farmers, anything.
2. Walk every aisle before you buy anything.
3. Buy one thing you can't name.",random activities,medium,mall
Night Walk,"The same route becomes a different route after dark.

1. Walk a familiar route at night.
2. No headphones.
3. Notice what's open that you assumed was closed.",random activities,easy,outdoors
Water's Edge,"Find the nearest water and go and stand next to it.

1. Locate the closest river, canal, lake, or sea.
2. Get to it however you can.
3. Sit by it for fifteen minutes before heading back.",random activities,medium,outdoors
Free Event Hunt,"Something is happening tonight and you don't know about it.

1. Search local listings for something free happening today.
2. Pick the one you'd normally talk yourself out of.
3. Go alone.",random activities,hard,outdoors
Bookshop Divination,"Let the shelf choose.

1. Go to a physical bookshop.
2. Walk to a section you never visit.
3. Buy the seventh book you touch. Start it there.",random activities,medium,mall
"One Street, Properly","Photograph a hundred metres like it's a foreign country.

1. Choose one street.
2. Take twenty photographs within it. No more.
3. Keep the three that a stranger would look at twice.",random activities,medium,outdoors
The Long Way Home,"The direct route is a habit, not a requirement.

1. Go somewhere you're already going.
2. Come back by a route that takes at least ten minutes longer.
3. Don't check the map.",random activities,easy,outdoors
Something Unpronounceable,"Order the thing you'd have to point at.

1. Find a food shop or restaurant from a cuisine you don't know.
2. Order something you cannot pronounce.
3. Ask what it is only after you've tried it.",random activities,medium,mall
Museum Sprint,"One room, properly, beats nine rooms at a jog.

1. Go to a museum or gallery.
2. Visit exactly one room.
3. Stay for thirty minutes, then leave the building.",random activities,medium,gym
Ask a Local,"Every neighbourhood has a best thing and it isn't online.

1. Ask someone who works nearby for their favourite place within five minutes' walk.
2. Go there immediately.
3. Report back to them if you can.",random activities,hard,outdoors
Follow the Music,"Somewhere near you, someone is playing something.

1. Go out and listen for live music, or a busker, or an open door.
2. Follow it.
3. Stay for at least one full song.",random activities,medium,home
"Ten Breaths, Nothing Else","Not meditation. Ten breaths.

1. Sit down. Feet flat.
2. Count ten breaths out, not in.
3. If you lose count, start again without comment.",mindfulness,easy,home
The Screenless Half Hour,"Boredom is where the good thoughts are kept.

1. Put every screen in another room.
2. Stay for thirty minutes.
3. You may stare at a wall. That's allowed.",mindfulness,medium,home
Water and Window,"The two cheapest repairs available.

1. Drink a full glass of water.
2. Stand at a window and look at the furthest thing you can see for two minutes.",mindfulness,easy,home
Full Reset Shower,"Long, hot, and treated as an event rather than maintenance.

1. Take a shower with no time pressure.
2. Do the full ritual — everything you normally skip.
3. Put on clean clothes afterward even if you're staying in.",mindfulness,easy,home
Legs Up the Wall,"Fifteen minutes that feel like a nap you didn't have time for.

1. Lie on your back, legs vertical against a wall.
2. Stay for fifteen minutes.
3. Phone face down, in another room ideally.",mindfulness,easy,home
Write the Worry Down,"On paper it's a problem. In your head it's weather.

1. Write down what you're anxious about, in full.
2. Underneath, write what you'd actually do if the worst happened.
3. Close the notebook.",mindfulness,medium,home
Nap Protocol,"Done properly it costs twenty minutes and returns four hours.

1. Set an alarm for twenty-five minutes.
2. Dark room, no expectations of actually sleeping.
3. Get up when it goes, regardless.",mindfulness,easy,home
Tea Ceremony of One,"The ceremony is the point. The tea is incidental.

1. Make a hot drink with full attention — no phone, no podcast.
2. Drink it sitting down, doing nothing else.
3. Take the whole time.",mindfulness,easy,home
Unfollow Five,"Your feed is a room you chose to stand in.

1. Open the app that makes you feel worst.
2. Unfollow five accounts that reliably sour your mood.
3. No explanations owed to anyone.",mindfulness,easy,home
The Long Stretch,"Slow enough to be boring is the correct speed.

1. Stretch for thirty minutes.
2. Hold each position at least two minutes.
3. Breathe out into the tight ones.",mindfulness,easy,home
"Bed, Properly Made","A made bed is a message from your morning self.

1. Strip and remake the bed properly.
2. Fresh sheets if you have them.
3. Clear whatever has colonised the bedside table.",mindfulness,easy,home
Skin and Teeth,"Small maintenance, disproportionate returns.

1. Do the full version of whatever your grooming routine skips.
2. Nails, floss, moisturiser, the lot.
3. Ten unhurried minutes minimum.",mindfulness,easy,home
Say No to One Thing,"Every yes you resent is borrowed from someone you love.

1. Find one commitment you agreed to but don't want.
2. Withdraw from it, kindly and without a long explanation.
3. Do not offer an alternative.",mindfulness,hard,home
Sunlight Before Screens,"The order matters more than the duration.

1. Get outside light on your face before you look at a screen.
2. Ten minutes if you can. Two is better than none.",mindfulness,easy,outdoors
The Gratitude Three,"Specific ones only. 'My health' doesn't count.

1. Write three specific things from the last day that were good.
2. Each must be something that actually happened.
3. No generalities.",mindfulness,easy,home
Silence Walk,"No podcast, no music, no calls.

1. Walk with nothing in your ears.
2. Let it be boring for the first ten minutes.
3. Notice what your brain does at minute twenty.",mindfulness,easy,outdoors
Clean What You Touch,"The objects nearest you are the dirtiest ones.

1. Clean your phone, your keys, your glasses, your keyboard.
2. Properly, with something wet.",mindfulness,easy,home
Early Shutdown,"End the day an hour before you think you're allowed.

1. Stop working an hour earlier than usual.
2. No screens for the last thirty minutes.
3. Go to bed while you still feel awake.",mindfulness,medium,home
Twenty Minutes of the Hard Part,"Skip the warm-up. Go straight to what you're bad at.

1. Identify the sub-skill of your main hobby you avoid because you're weak at it.
2. Work only on that for the whole time.
3. Expect to feel incompetent. That's the receipt.",learning,hard,home
Teach It Back,"You don't know it until you can say it out loud without notes.

1. Choose something you learned recently.
2. Explain it aloud for five minutes with nothing in front of you.
3. The gaps you stumble over are the real syllabus.",learning,medium,school
One Chapter,"Not the book. One chapter.

1. Read a single chapter of something demanding.
2. Write three sentences on it afterward.
3. Stop at the chapter break even if it's going well.",learning,easy,school
Three Notes,"Consumption without capture evaporates by tomorrow.

1. Watch a talk or lecture in your field.
2. Take exactly three notes. No more — the limit forces judgement.
3. Act on one of them this week.",learning,medium,school
The Flashcard Forge,"Making the cards teaches more than reviewing them.

1. Take something you keep forgetting.
2. Write ten question-and-answer cards for it.
3. Test yourself once, then put them away.",learning,medium,school
Stop Googling It,"There is one thing you look up every single week.

1. Name the thing you re-search constantly.
2. Learn it properly, once — or write yourself a permanent note.
3. Never search for it again.",learning,medium,outdoors
Read the Actual Documentation,"Everyone skims. Almost nobody reads.

1. Take a tool you use daily.
2. Read its real documentation for the whole time.
3. Find two features you didn't know existed.",learning,medium,school
Interview by Proxy,"Sit with one expert for an hour instead of ten for five minutes.

1. Find a long interview with someone excellent in your field.
2. Listen to the whole thing.
3. Extract three things they do that you don't.",learning,easy,school
Ten Words,"Vocabulary is the only part of a language that's pure arithmetic.

1. Learn ten new words in a language you're studying.
2. Use each one in a sentence out loud.
3. Revisit them before bed.",learning,medium,school
Deliberate Repetition,"Not practice. Drilling one specific movement.

1. Isolate one small component of your main hobby.
2. Repeat only that, slowly, for the whole session.
3. Speed comes later and comes free.",learning,hard,home
Postmortem of One Mistake,"Mistakes only pay out if you sit with them.

1. Pick something that went wrong recently.
2. Write what you believed at the time that turned out to be false.
3. Write the one rule that would have prevented it.",learning,hard,home
Ask a Better Question,"Asking publicly costs pride and returns years.

1. Write down the thing you're confused about.
2. Rewrite it until it's specific enough to be answerable.
3. Post it somewhere people who know will see it.",learning,hard,home
Shadow a Master,"Study one work closely enough to see the decisions.

1. Choose one excellent piece of work in your field.
2. Spend an hour taking it apart — structure, choices, what was left out.
3. Write the three rules its maker seems to follow.",learning,medium,school
Build the Tiny Version,"Reading about it is not the same as it existing.

1. Take a concept you've only read about.
2. Build the smallest possible working version of it.
3. Broken and running beats perfect and theoretical.",learning,hard,school
Handwrite Your Notes,"Slower input, better retention. Annoying but consistent.

1. Take notes on something by hand for the whole session.
2. Rewrite the key ideas in your own words at the end.
3. Don't transcribe — compress.",learning,easy,school
Prompt Craft,"The quality of the answer is downstream of the question.

1. Take a prompt you use often with an AI tool.
2. Rewrite it with role, context, constraints, and an example.
3. Run both. Keep the better one permanently.",learning,medium,office/desk
The Reading List Cull,"A list you'll never finish is a list you'll never start.

1. Open your saved articles, books, or watch-later pile.
2. Delete two-thirds of it without guilt.
3. Start the top one now.",learning,easy,school
Explain It to a Child,"Jargon is where fuzzy thinking hides.

1. Explain your current project using only simple words.
2. No jargon, no field-specific terms.
3. Where you can't, you don't understand it yet.",learning,medium,home
An Hour Inside It,"Not admin about the hobby. The hobby.

1. Spend the whole time doing your main hobby itself.
2. No researching, no buying gear, no watching others do it.",fun activities,medium,outdoors
Teach What You Know,"Explaining it is how you find out what you know.

1. Show someone one thing about your main hobby.
2. In person, on a call, or in a short written guide.
3. Aim to make them able to do it, not impressed by you.",learning,hard,home
The Deep Cut,"Go past the popular layer of your main hobby.

1. Find something obscure within your main hobby — a niche corner, an old master, a dead branch.
2. Spend the time only there.
3. Bring back one thing nobody else in your circle would know.",fun activities,easy,home
"One Detail, Levelled","Everything gets better one detail at a time.

1. Pick a single detail of how you do your main hobby.
2. Improve only that today.
3. Leave everything else exactly as it was.",fun activities,medium,home
Document It,"Making a record of the work changes how you do the work.

1. Photograph, film, or write about your main hobby while you do it.
2. Produce one shareable artefact by the end.
3. Whether you share it is up to you.",fun activities,medium,home
The Constraint,"Take a tool away from your main hobby and see what appears.

1. Do your main hobby with one thing you normally rely on removed.
2. Adapt rather than substitute.
3. Note what the restriction taught you.",fun activities,hard,home
Clear the Path,"Half of a stalled project is unfinished admin around it.

1. List everything blocking your current project.
2. Do the smallest blocker completely.
3. Delete one blocker by deciding it doesn't matter.",productivity/chores,medium,home
Show It Early,"Feedback before you're ready is the only feedback worth having.

1. Show your current project to one person while it's still unfinished.
2. Ask what's confusing, not what's good.
3. Change one thing based on their answer.",productivity/chores,hard,home
One Line,"A sentence is a small enough commitment to actually make.

1. Write one sentence you'd be pleased to have written.
2. Rewrite it twice.
3. Keep the second version.",fun activities,easy,home
The Nearest Ugly Thing,"Photographing something unlovely teaches more than photographing something lovely.

1. Find the least attractive object within reach.
2. Photograph it so it looks good.
3. One angle only.",fun activities,easy,home
Five-Minute Doodle,"Not art. Marks on paper.

1. Draw continuously for five minutes without lifting the pen.
2. No subject. No stopping to think.",fun activities,easy,home
Record One Hum,"The melody you can't get out of your head is trying to tell you something.

1. Hum, sing, or tap whatever's stuck in your head into your phone.
2. Don't tidy it up.
3. Name the file something absurd.",fun activities,easy,home
Steal One Sentence,"Copying by hand is how writers used to learn. It still works.

1. Find a sentence you admire.
2. Write it out by hand.
3. Underneath, write what it's doing that yours don't.",fun activities,easy,school
One Follow-Up,"The message you never chased is the deal you never lost, technically.

1. Find one conversation that went quiet.
2. Send a single sentence reviving it.
3. Close the app.",productivity/chores,medium,home
Check One Number,"One metric, looked at honestly, beats a dashboard ignored.

1. Open the one number that actually tells you how things are going.
2. Write it down with today's date.
3. Don't act on it yet.",productivity/chores,easy,office/desk
Write the Subject Line,"The whole email lives or dies here.

1. Write eight subject lines for something you need people to open.
2. Pick the shortest one that still says something.",productivity/chores,easy,office/desk
Thank a Customer,"Unprompted gratitude is rare enough to be memorable.

1. Message one person who has paid you or helped you.
2. Thank them specifically. Ask for nothing.",productivity/chores,easy,office/desk
Cut One Thing from the Offer,"Every extra feature is a reason to hesitate.

1. List what your offer includes.
2. Delete the item you added out of insecurity.",productivity/chores,medium,home
One Absurd Fact,"Five minutes of pointless knowledge is not pointless.

1. Look up something genuinely useless.
2. Follow it two links deep.
3. Tell someone about it before the day ends.",fun activities,easy,school
